technique_id,name,tactic
T1055.011,Extra Window Memory Injection,"stealth, privilege-escalation"
T1053.005,Scheduled Task,"execution, persistence, privilege-escalation"
T1205.002,Socket Filters,"stealth, persistence, command-and-control"
T1560.001,Archive via Utility,collection
T1021.005,VNC,lateral-movement
T1047,Windows Management Instrumentation,execution
T1687,Exploitation for Defense Impairment,defense-impairment
T1113,Screen Capture,collection
T1027.011,Fileless Storage,stealth
T1037,Boot or Logon Initialization Scripts,"persistence, privilege-escalation"
T1557,Adversary-in-the-Middle,"credential-access, collection"
T1033,System Owner/User Discovery,discovery
T1583,Acquire Infrastructure,resource-development
T1218.011,Rundll32,stealth
T1613,Container and Resource Discovery,discovery
T1583.007,Serverless,resource-development
T1132.001,Standard Encoding,command-and-control
T1027.009,Embedded Payloads,stealth
T1556.003,Pluggable Authentication Modules,"defense-impairment, persistence, credential-access"
T1578.004,Revert Cloud Instance,defense-impairment
T1592,Gather Victim Host Information,reconnaissance
T1596.003,Digital Certificates,reconnaissance
T1056.001,Keylogging,"collection, credential-access"
T1564.012,File/Path Exclusions,stealth
T1222.002,Linux and Mac Permissions,defense-impairment
T1110.001,Password Guessing,credential-access
T1216.001,PubPrn,stealth
T1597.002,Purchase Technical Data,reconnaissance
T1003,OS Credential Dumping,credential-access
T1129,Shared Modules,execution
T1602,Data from Configuration Repository,collection
T1561.002,Disk Structure Wipe,impact
T1498.001,Direct Network Flood,impact
T1574.007,Path Interception by PATH Environment Variable,"stealth, execution"
T1213.002,Sharepoint,collection
T1006,Direct Volume Access,stealth
T1588.007,Artificial Intelligence,resource-development
T1666,Modify Cloud Resource Hierarchy,defense-impairment
T1564.008,Email Hiding Rules,stealth
T1491.002,External Defacement,impact
T1027.013,Encrypted/Encoded File,stealth
T1590.005,IP Addresses,reconnaissance
T1499.001,OS Exhaustion Flood,impact
T1014,Rootkit,stealth
T1546.013,PowerShell Profile,"privilege-escalation, persistence"
T1059.007,JavaScript,execution
T1685.003,Modify or Spoof Tool UI,defense-impairment
T1590.002,DNS,reconnaissance
T1485.001,Lifecycle-Triggered Deletion,impact
T1123,Audio Capture,collection
T1543,Create or Modify System Process,"persistence, privilege-escalation"
T1133,External Remote Services,"persistence, initial-access"
T1546.006,LC_LOAD_DYLIB Addition,"privilege-escalation, persistence"
T1539,Steal Web Session Cookie,credential-access
T1053.007,Container Orchestration Job,"execution, persistence, privilege-escalation"
T1568.002,Domain Generation Algorithms,command-and-control
T1036.007,Double File Extension,stealth
T1548.002,Bypass User Account Control,privilege-escalation
T1496.003,SMS Pumping,impact
T1016.001,Internet Connection Discovery,discovery
T1548.003,Sudo and Sudo Caching,privilege-escalation
T1685.001,Disable or Modify Windows Event Log,defense-impairment
T1682,Query Public AI Services,reconnaissance
T1560.003,Archive via Custom Method,collection
T1578,Modify Cloud Compute Infrastructure,defense-impairment
T1584.008,Network Devices,resource-development
T1583.008,Malvertising,resource-development
T1069,Permission Groups Discovery,discovery
T1114,Email Collection,collection
T1003.002,Security Account Manager,credential-access
T1596.002,WHOIS,reconnaissance
T1542.001,System Firmware,"stealth, persistence"
T1594,Search Victim-Owned Websites,reconnaissance
T1069.003,Cloud Groups,discovery
T1574.011,Services Registry Permissions Weakness,"stealth, execution"
T1596.001,DNS/Passive DNS,reconnaissance
T1499.003,Application Exhaustion Flood,impact
T1195.001,Compromise Software Dependencies and Development Tools,initial-access
T1588.004,Digital Certificates,resource-development
T1583.002,DNS Server,resource-development
T1561,Disk Wipe,impact
T1071.004,DNS,command-and-control
T1552.005,Cloud Instance Metadata API,credential-access
T1555.002,Securityd Memory,credential-access
T1615,Group Policy Discovery,discovery
T1542.003,Bootkit,"stealth, persistence"
T1025,Data from Removable Media,collection
T1218.013,Mavinject,stealth
T1074.001,Local Data Staging,collection
T1036.005,Match Legitimate Resource Name or Location,stealth
T1587.003,Digital Certificates,resource-development
T1565.001,Stored Data Manipulation,impact
T1110.002,Password Cracking,credential-access
T1114.001,Local Email Collection,collection
T1555.001,Keychain,credential-access
T1547,Boot or Logon Autostart Execution,"persistence, privilege-escalation"
T1003.004,LSA Secrets,credential-access
T1600,Weaken Encryption,defense-impairment
T1606.002,SAML Tokens,credential-access
T1036.008,Masquerade File Type,stealth
T1489,Service Stop,impact
T1587.001,Malware,resource-development
T1652,Device Driver Discovery,discovery
T1087.002,Domain Account,discovery
T1547.014,Active Setup,"persistence, privilege-escalation"
T1564,Hide Artifacts,stealth
T1559.002,Dynamic Data Exchange,execution
T1204.002,Malicious File,execution
T1591.003,Identify Business Tempo,reconnaissance
T1685.004,Disable or Modify Linux Audit System Log,defense-impairment
T1071.005,Publish/Subscribe Protocols,command-and-control
T1592.001,Hardware,reconnaissance
T1080,Taint Shared Content,lateral-movement
T1484.002,Trust Modification,"defense-impairment, privilege-escalation"
T1213.006,Databases,collection
T1573.001,Symmetric Cryptography,command-and-control
T1087.001,Local Account,discovery
T1586.001,Social Media Accounts,resource-development
T1176.001,Browser Extensions,persistence
T1542.005,TFTP Boot,"stealth, persistence"
T1686.003,Windows Host Firewall,defense-impairment
T1543.003,Windows Service,"persistence, privilege-escalation"
T1568.001,Fast Flux DNS,command-and-control
T1497.001,System Checks,"stealth, discovery"
T1053.003,Cron,"execution, persistence, privilege-escalation"
T1069.002,Domain Groups,discovery
T1588.006,Vulnerabilities,resource-development
T1566.002,Spearphishing Link,initial-access
T1499.004,Application or System Exploitation,impact
T1137,Office Application Startup,persistence
T1218.004,InstallUtil,stealth
